company_id,year,printed_name,name_key
C00129,1932,Société Anonyme du Béhéra,behera
C00035,1932,Société Anonyme du Chemin de Fer Ken eh-Assouan,chemin fer ken eh assouan
C00130,1932,Société Belge-Egyptienne de l'Ezbékieh,belge egyptienne ezbekieh
C00130,1932,Société Belgo-Egyplienne de l'Ezbékieh,belge egyptienne ezbekieh
C00130,1932,Société Belgo-Egyptienne de l'Ezbékieh,belge egyptienne ezbekieh
C00131,1932,Société Cotonnière Maarad,cotonniere maarad
C00131,1932,Société Cotonnière « Maarad )),cotonniere maarad
C00132,1932,Société Delta (Società Edile Egiziana),delta societa edile egiziana
C00133,1932,Société Egyptienne d'Egrenage,egrenage
C00112,1932,Société Egyptienne d'Entreprises Urbaines et Rurales,entreprises urbaines rurales
C00134,1932,Société Egyptienne d'Irrigation,s e irrigation
C00135,1932,Société Egyptienne de Ciment Portland Tourah-Le Caire,ciment portland tourah caire
C00026,1932,Société Egyptienne de Ja Bourse Commerciale de ~li net El Bass al,bourse commerciale minet el bassal
C00136,1932,Société Egyptienne de Pétrole (S.A.E.),petrole s e
C00137,1932,Société Egyptienne de Pétrole (S.E. P.),petrole s e p
C00026,1932,Société Egyptienne de la Bourse Commerciale de Minet El Bassa!,bourse commerciale minet el bassal
C00026,1932,Société Egyptienne de la Bourse Commerciale de Minet El Bassal,bourse commerciale minet el bassal
C00138,1932,Société Egyptienne des Madina,madina
C00139,1932,Société Egyptienne des Pétroles,petroles
C00140,1932,Société Financière et Industrielle d'Egypte,financiere industrielle egypte
C00141,1932,Société Foncière,fonciere egypte
C00141,1932,Société Foncière d'Egypte,fonciere egypte
C00142,1932,Société Foncière du Domaine de Cheikh Fadl,fonciere domaine cheikh fadl
C00143,1932,Société Franco-Egyptienne d'Importation,franco egyptienne importation
C00144,1932,Société Ghizeh et Rodah,ghizeh rodah
C00145,1932,Société Gé .. nérale d'Electricité,generale electricite
C00145,1932,Société Générale d'Electricité,generale electricite
C00146,1932,Société Générale d'Irrigation,generale irrigation
C00147,1932,Société Générale de Pressage et Dépôts,generale pressage el depots
C00147,1932,Société Générale des Pressages et Dépôts,generale pressage el depots
C00148,1932,Société Générale des Sucreries,generale sucreries
C00121,1932,Société Immobilière d'A~exandrie,immobiliere alexandrie s f
C00149,1932,"Société Immobilière elu Domaine de Siouf. Baron Louis de Benoist d'Erquennes, Agent Supérieur de la Compagnf<> Universelle du Canal Maritime de Suez",immobiliere elu domaine siouf baron louis benoist erquennes agent superieur compagnf universelle canal maritime suez
C00150,1932,Société Misr pour l'Exportation du Coton (ex-Lindemann),misr exportation coton ex lindemann
C00151,1932,Société Orienta le de Publicité,orientale publicite
C00151,1932,Société Orientale de Publicité (S.A.E.),orientale publicite
C00152,1932,Société Royale de Papyrologie d'Egypte,royale papyrologie egypte
C00153,1932,Société d'Avances Commerciales,avances commerciales
C00154,1932,Société d'Economie Politique,economie politique
C00155,1932,Société des Automobiles,automobiles
C00156,1932,Société des Automobiles et Omnibus du Caire,automobiles omnibus caire
C00157,1932,Société des Biens de Rapport d'Egypte,biens rapport egypte
C00158,1932,Société des Halles Centrales,halles centrales egypte
C00127,1932,Société des Tramways d'Alexandrie,tramways alexandrie
C00159,1932,SociétéFoncière du Domaine de Cheikh Fadl,so ciete fonciere domaine cheikh fadl
C00160,1932,Syndicat des Obligataires de la Société Générale des Sucreries,syndicat obligataires generale sucreries
C00161,1932,Technique de la Société Générale d'Irrigation,technique generale irrigation
C00003,1932,The Agricultural Bank of Egypt,agricultural bank egypt
C00001,1932,The Alex andria Insurance Cy,alexandria insurance co
C00005,1932,The Alexandria & Ramleh Hailways Co,alexa11 dria ramleh raih ay co
C00005,1932,The Alexandria & Ramleh Railways Gy,alexa11 dria ramleh raih ay co
C00009,1932,The Alexandria 'Vater Cy,alexandria water company
C00162,1932,The Alexandria Central Buildings,alexandria central buildings
C00162,1932,The Alexandria Central Buildings Co,alexandria central buildings
C00001,1932,The Alexandria Insurance Company,alexandria insurance co
C00001,1932,The Alexandria Insurance Cy,alexandria insurance co
C00001,1932,"The Alexandria Insurance Cy., S. A. E",alexandria insurance co
C00009,1932,The Alexandria Water Cy,alexandria water company
C00008,1932,The Alexandrie Pressing Cy,alexandria pressing co
C00010,1932,The Alexandrin Ex change Co. Ltd,alexandria exchange co
C00013,1932,The Anglo-Ame- rican Nile & Tourist Co,hon anglo american nile tourist co
C00163,1932,The Anglo-Egyptian Land Allotment Company etde la Fayoum Light Railways,anglo egyptian land allotment company etde fayoum light railways
C00014,1932,The Anglo-Egyptian Land Allotment Cy,anglo egyptian land allotment co
C00015,1932,The Associated Cotton Ginners,associated cotton ginners
C00015,1932,"The Associated Cotton Ginners of Egypt, Ltd",associated cotton ginners
C00029,1932,The Building Lands,building lands egypt
C00164,1932,The Cairo Electric Rail ways & Helio polis Oases Cy,cairo electric railways heliopolis oases co
C00165,1932,The Cairo Electric Railways & Helio polis Oases Cy.~ de l'African Enterprise et Development Cy,cairo elec trie railwavs heliopolis oases co el african terprises development co
C00164,1932,The Cairo Electric Rallways & Heliopolis Oases Cy,cairo electric railways heliopolis oases co
C00030,1932,The Cairo Sand Bricks Co. S. A,cairo sand bricks
C00166,1932,The Cairo Suburban,cairo suburban
C00167,1932,The Commercial & Estates Co,com mercial estates co egypt
C00043,1932,The Commercial Bank of Egypt,commercial bank egypt
C00168,1932,The Commercial Bank of Egypt et Société Egyptienne d'Entreprises Urbaines et Rurales,commercial bank egypt entreprises urbaines rurales
C00054,1932,The Crownegypt Co,crownegypt co s e
C00169,1932,The Delta Land & Investment Cy,delta land investment cy
C00170,1932,The Eastern Automobiles Supplies & Transport Co,eastern automobiles supplies transport co
C00171,1932,The Egypban Bonded 'iVarehouses Cy. Ltd,egyptian bonded warehouses co
C00172,1932,The Egypt and Sudan Export Co,egypt sudan export co
C00173,1932,The Egyptian Boncled Warehouses Cy Ltcl,egyptian boncled warehouses cy ltcl
C00171,1932,The Egyptian Bonded Warehouses Cy,egyptian bonded warehouses co
C00174,1932,The Egyptian Cotton Cy,egyptian cotton cy
C00065,1932,The Egyptian Delta Land & Investment Cy,egyptian delta land investment cy
C00175,1932,The Egyptian Enterprise & Development Co,egyptian enterprise development co
C00176,1932,The Egyptian Hotels,egyptian hotels
C00176,1932,The Egyptian Hotels Ltd,egyptian hotels
C00067,1932,The Egyptian Markets,egyptian markets
C00177,1932,The Egyptian Produce Trading Cy,egyptian produce trading cy s e
C00177,1932,The Egyptian Produce Trading Cy. S. A. E,egyptian produce trading cy s e
C00069,1932,The Egyptian Salt & Soda,egyptian salt soda
C00069,1932,The Egyptian Salt & Soda Cy. Ltd,egyptian salt soda
C00178,1932,The Electric Light & Power Supply,electric light power supply cy
C00178,1932,The Electric Light & Power Supply Cy,electric light power supply cy
C00075,1932,The Gabbari Land Co,gabbari land co
C00075,1932,The Gabbari Land Cy,gabbari land co
C00075,1932,The Gabbari Lands,gabbari land co
C00179,1932,The General Accident Fire and Life Assurance Corporation Ltd,ge neral accident fire life assurance corporalion lh
C00180,1932,The Kafr El Z,kafr el z
C00181,1932,The Man ure Cy,manure co egypt
C00087,1932,The Mortgage Co. of Egypt Ltd,mortgage co egypt
C00091,1932,The National Bank of Egypt,national bank egypt
C00092,1932,The National Insurance Cy,national insurance co
C00094,1932,The New Egyptian Cy,new egyptian co
C00118,1932,The Si di Salem of Egypt,sidi salem co
C00182,1932,The Union Cotton Co of Alexandria,union cotton company alexandria
C00183,1932,The Union Cotton Cy,union cotton cy
C00184,1932,The United Egyptian Nile Transport Co,united egyptian nile transport co
C00185,1932,The Upper Egypt Hotcls Cy,upper egypt hotels
C00185,1932,The Upper Egypt Hotels,upper egypt hotels
C00184,1932,The nited Egyptian Nile Transport Co,united egyptian nile transport co
C00186,1932,"Tilbury Contracting & Dredging Co (Egypt), Ltd",tilbury contracting dredging co egypt
C00187,1932,Tramways d'Alexandrie et Présiclen t de la Société Franco-Egyptienne d'Importation 1(S. A. E.),tramways alexandrie presiclen t franco egyptienne importation 1 s e
C00188,1932,Tramways d'Alexandrie. Aghion Max,tramways alexandrie aghion max
C00128,1932,Tramways du Caire,s tramways caire
C00189,1932,"Tramways du Caire, ainsi que de nombreuses autres Sociétés Belges et Etrangères",tramways caire ainsi que nombreuses autres societes belges etrangeres
C00190,1932,Union Foncière d'Egypte,union fonciere egypte
C00191,1932,Union des Agriculteurs,union agriculteurs egypte
C00184,1932,United Egyptian Nilc Transport Co,united egyptian nile transport co
C00184,1932,United Egyptian Nile Transport Co,united egyptian nile transport co
C00192,1932,United Egyptian Salt,united egyptian salt
C00192,1932,United Egyptian Salt Ltd,united egyptian salt
C00185,1932,Upper Egypt Ratels,upper egypt hotels
C00193,1932,Usines Réunies d'Egrenage etrl'Huileries,usines 1 elinies egrenage ct cl iiuilcrics s e
C00194,1932,\dmin.istration de l'Anglo-Egyptian Land Allotment Co,dmin istration anglo egyptian land allotment co
C00195,1932,en Droit,droit
C00196,1932,en Egypte de The Sinaï Mining Cy,sinai mining co
C00197,1932,en Egypte des Agences du CrédH Lyonnais,egypte agences credh lyonnais
C00198,1932,intérêtséconomiques exotiques de la ville d'Alexandrie,interetseconomiques exotiques ville alexandrie
C00199,1932,la« Ganz S. A. E,ganz s e
C00157,1932,p. i. de la Société des Biens de Rapport d'Egypte,biens rapport egypte
C00200,1932,pour l'Egypte de la Banque d'Athènes,banque athenes
C00201,1932,suivantes Sociétés,suivantes societes
C00202,1932,tian de la Banque )1isr,lion banque misr s e
C00021,1932,"toutes les institutions financières, commerciales et industrielles fondées par la Banque Misr en Egypte et à l'Etranger",banque misr ct toutes institutions financieres commerciales industrielles fondees par banque misr egypte etranger
C00203,1932,~u Comptoir des Ciments,u comptoir ciments
C00004,1932,"« Al Chark » (L'Orient), Société Anonyme Egyptienne d'Assurance sur la Vie",al chark orient cl assurances sur vie
C00004,1932,«Al Chark» (L'Orient) Société Anonyme Egyptienne d'Assurance sur la Vie,al chark orient cl assurances sur vie
C00204,1932,"«La Nationale l>, Compagnie Aunonyme d'Assurances sur la Vie à Paris",nationale aunonyme assurances sur vie paris
